source_index,location_id,reward
0,Rest,0
1,Alabama,2.3
2,Alaska,1.9
3,Arizona,6.1
4,Arkansas,1.9
5,California,3.5
6,Colorado,3.1
7,Connecticut,2
8,Delaware,1.8
9,Dist. of Col.,2.1
10,Florida,5.5
11,Georgia,7.1
12,Hawaii,1.2
13,Idaho,2.6
14,Illinois,2.2
15,Indiana,3.2
16,Iowa,4.9
17,Kansas,1.9
18,Kentucky,2.3
19,Louisiana,2.1
20,Maine,2
21,Maryland,2.4
22,Massachusetts,2.3
23,Michigan,12.9
24,Minnesota,2.5
25,Mississippi,1.9
26,Missouri,2.2
27,Montana,2.1
28,Nebraska,2.1
29,Nevada,6
30,New Hampshire,2.8
31,New Jersey,2
32,New Mexico,2.4
33,New York,2.2
34,North Carolina,10.1
35,North Dakota,2.5
36,Ohio,5
37,Oklahoma,2.1
38,Oregon,2.2
39,Pennsylvania,16.6
40,Rhode Island,1.6
41,South Carolina,1.8
42,South Dakota,2.3
43,Tennessee,2.1
44,Texas,2.5
45,Utah,2
46,Vermont,2.1
47,Virginia,2.7
48,Washington,2.3
49,West Virginia,2.1
50,Wisconsin,11.4
51,Wyoming,3
