source_index,location_id,reward
0,Rest,0
1,Alabama,1.6
2,Alaska,1.7
3,Arizona,5.8
4,Arkansas,1.3
5,California,3
6,Colorado,2.9
7,Connecticut,1.8
8,Delaware,1.6
9,Dist. of Col.,2.8
10,Florida,4.8
11,Georgia,7
12,Hawaii,1.1
13,Idaho,1.6
14,Illinois,2
15,Indiana,2.6
16,Iowa,4.2
17,Kansas,1.6
18,Kentucky,1.6
19,Louisiana,1.6
20,Maine,1.9
21,Maryland,2
22,Massachusetts,2
23,Michigan,12.8
24,Minnesota,2.4
25,Mississippi,1.4
26,Missouri,1.8
27,Montana,1.7
28,Nebraska,1.7
29,Nevada,5.8
30,New Hampshire,2.7
31,New Jersey,2
32,New Mexico,2.3
33,New York,2
34,North Carolina,9.9
35,North Dakota,1.6
36,Ohio,4.5
37,Oklahoma,1.4
38,Oregon,2
39,Pennsylvania,16.4
40,Rhode Island,1.5
41,South Carolina,1.5
42,South Dakota,1.6
43,Tennessee,1.5
44,Texas,2.2
45,Utah,1.5
46,Vermont,1.8
47,Virginia,2.6
48,Washington,2.1
49,West Virginia,1.2
50,Wisconsin,11.4
51,Wyoming,1.6
