instance,method,display,best_training,validation_selection,greedy,best_of_k,sgbs,best_final,best_mode,training_seconds,completed_updates,planned_updates,best_update,stop_reason,end_entropy,end_kl,feasible,start_generation_seconds,improvement_seconds
D_14S_30P,stable_mlp,Stable MLP,15440.4315,15365.752,14916.702,15292.242000000002,15389.945,15389.945,sgbs,355.6862382669997,260,400,140,early_stopping_after_6_validation_checks,0.1843069950118661,0.0004733038567792,True,,
D_14S_30P,attention,Attention,15498.8545,15485.2545,15476.1665,15483.1185,15485.2545,15485.2545,sgbs,689.5146149960001,400,400,380,maximum_updates_reached,0.0509424763731658,0.0015686751091834,True,,
D_14S_30P,hierarchical,Hierarchical,15426.2365,15240.7295,15234.001499999998,15240.7295,15240.7295,15240.7295,best_of_k,700.6368988910003,400,400,280,early_stopping_after_6_validation_checks,0.0171922814333811,0.0004811752058433,True,,
D_14S_30P,hacipp,HACIPP,15463.463750000004,15427.2545,15381.76775,15434.53575,15439.943750000002,15439.943750000002,sgbs,691.2373662700002,400,400,340,maximum_updates_reached,0.0820194412954151,0.0013704882527534,True,,
D_14S_30P,hacipp_rl_improve,HACIPP + RL Improve,15501.09575,15506.31575,,,,15470.51975,improved,467.6835831369999,130,200,1,early_stopping_after_8_validation_checks,0.1357722207903862,1.30385160446167e-08,True,46.034748993,0.8282589729997198
D_30S_75P,stable_mlp,Stable MLP,276312.117,276011.013,272203.21900000004,275899.80100000004,272997.728,275899.80100000004,best_of_k,2188.511734275,360,400,240,early_stopping_after_6_validation_checks,0.2340081676840782,0.0009372984117362,True,,
D_30S_75P,attention,Attention,276262.54600000003,275971.734,274493.31,276277.15800000005,276095.621,276277.15800000005,best_of_k,3288.366596422,400,400,400,maximum_updates_reached,0.1351706093177199,0.0024571249858126,True,,
D_30S_75P,hierarchical,Hierarchical,275351.92900000006,275168.273,274987.83100000006,275217.316,275204.582,275217.316,best_of_k,3292.994591688999,400,400,380,maximum_updates_reached,0.1097545586526393,0.0014643091362837,True,,
D_30S_75P,hacipp,HACIPP,275727.64900000003,275724.93,274334.493,275782.271,274337.42500000005,275782.271,best_of_k,2983.5436002550014,360,400,240,early_stopping_after_6_validation_checks,0.1768516924232244,0.001810138410935,True,,
D_30S_75P,hacipp_rl_improve,HACIPP + RL Improve,276202.064,275272.92799999996,,,,275629.13700000005,improved,1674.6052228840017,150,200,10,early_stopping_after_8_validation_checks,1.4250437915325165,0.0008662931832077447,True,561.2702565899999,2.611475503999827
D_51S_90P,stable_mlp,Stable MLP,679810.12975,678848.47375,675152.3015000001,678793.842,677960.33775,678793.842,best_of_k,3455.024000422999,380,400,260,early_stopping_after_6_validation_checks,0.1630777564520637,0.0002204722889776,True,,
D_51S_90P,attention,Attention,678607.1725,677897.3257500001,677807.4137500001,678329.6604999999,678256.45375,678329.6604999999,best_of_k,5290.162128992,400,400,380,maximum_updates_reached,0.0789148130764563,0.0014385199998893,True,,
D_51S_90P,hierarchical,Hierarchical,675449.7335000001,674977.242,675055.7995,675059.82575,675240.76975,675240.76975,sgbs,5321.879708938999,400,400,340,maximum_updates_reached,0.0896528183172146,0.0018682451558629,True,,
D_51S_90P,hacipp,HACIPP,674856.8010000001,674215.263,673745.0217500001,674887.1142500001,674256.04575,674887.1142500001,best_of_k,2928.3095711729984,220,400,80,early_stopping_after_6_validation_checks,0.2267054241771499,0.0058336742372873,True,,
D_51S_90P,hacipp_rl_improve,HACIPP + RL Improve,676361.62675,672574.8078749999,,,,674719.75975,improved,2106.4003723700007,130,200,10,early_stopping_after_8_validation_checks,1.673765778541565,1.478539115851163e-05,True,1032.3439993460015,4.286908306999976
