scenario_index,scenario_id,family,switch_day,method_c_objective,two_stage_gurobi_objective,method_c_prefix_oracle_objective,clairvoyant_gurobi_objective,static_no_replan_objective,prefix_advantage_absolute,prefix_advantage_percent,adaptation_gap_absolute,adaptation_gap_percent,final_advantage_absolute,final_advantage_percent,clairvoyant_gap_percent,two_stage_replanning_gain_percent,method_c_beats_two_stage,method_c_prefix_beats_static_gurobi_prefix,two_stage_proven_optimal,method_c_prefix_oracle_proven_optimal,clairvoyant_proven_optimal,two_stage_runtime_seconds,method_c_prefix_oracle_runtime_seconds,clairvoyant_runtime_seconds,R_retrain_objective,R_retrain_final_advantage_absolute,R_retrain_final_advantage_percent,R_retrain_beats_two_stage,R_retrain_online_training_seconds,R_retrain_inference_runtime_seconds
0,test_000_pilot_rank_flip,heldout_rank_flip,15,13935.527562500001,14570.399000000001,14477.613500000005,14804.938312500002,12199.350187500002,-92.78549999999632,-0.6368082301658061,542.0859375000036,3.7443045257424745,-634.8714375,-4.357268716525882,5.872437504626049,19.43586155047407,False,False,True,True,True,3.5375946999993175,3.162644599971827,11.608599299972411,14360.628499999999,-209.77050000000236,-1.4397031954993293,False,31.51063293299967,1.008275693000087
1,test_001_id_no_shock,no_shock,20,15472.606500000002,15555.198750000001,15497.505250000002,15555.198750000001,15555.198750000001,-57.6934999999994,-0.3708952931250679,24.89875000000029,0.16066295573605494,-82.5922499999997,-0.5309623575205021,0.5309623575205021,0.0,False,False,True,True,True,1.1733286999515258,1.2546012999955565,11.015423499979079,,,,,,
2,test_002_id_mixed,mixed,24,17714.1482275426,19442.82018559503,19502.809955578792,20097.520225562555,17465.167804992423,59.989769983763836,0.3085445908110059,1788.6617280361934,9.171302659002457,-1728.6719580524295,-8.891055626452708,11.85903520071339,11.323408985725822,False,True,True,True,True,0.40565129998140037,0.43302009999752045,9.562805800000206,,,,,,
3,test_003_id_boost_only,boost_only,20,18825.35679186133,19868.046322306767,20100.06264282234,21447.394339864957,17446.86975765502,232.01632051557317,1.1677862873466216,1274.7058509610106,6.341800389444077,-1042.6895304454374,-5.248072777416278,12.225436369815622,13.877426714837652,False,True,True,True,True,1.3188470000168309,1.2627947000437416,9.805094699957408,,,,,,
4,test_004_id_suppress_only,suppress_only,20,14961.921829572075,15120.202013070013,15134.675763070016,15234.619024632788,15069.048215460933,14.473750000002838,0.0957245808454915,172.75393349794103,1.1414445621588825,-158.2801834979382,-1.0468126243361011,1.7899836853142843,0.3394626978271677,False,True,True,True,True,1.3741083000204526,1.297560099978,10.03027689998271,,,,,,
5,test_005_id_concentrated,concentrated,6,20586.122101719997,21537.904251768727,21723.008969046026,23114.959644880757,19872.352401419463,185.10471727729964,0.8594369958818001,1136.8868673260295,5.2335607325210995,-951.7821500487298,-4.419102893776529,10.940263716708753,8.38125158363383,False,True,True,True,True,6.038898999977391,6.076601499982644,10.211922799993772,,,,,,
6,test_006_id_distributed,distributed,15,16367.745502729971,16552.811890249443,16556.192162753516,16747.06773028118,15975.37711931692,3.3802725040732184,0.020421137668243505,188.4466600235446,1.1382246483433145,-185.0663875194714,-1.1180359490974832,2.265006827824171,3.6145298268690453,False,True,True,True,True,3.4856310000177473,3.3628916000016034,11.023604299989529,,,,,,
7,test_007_id_no_shock,no_shock,18,15483.1185,15555.198750000001,15512.638750000002,15555.198750000001,15555.198750000001,-42.55999999999949,-0.27360627584394887,29.520250000001397,0.190298056157605,-72.08025000000089,-0.4633836645770976,0.4633836645770976,0.0,False,False,True,True,True,1.9187288000248373,2.145993800018914,11.286601200001314,,,,,,
8,test_008_id_mixed,mixed,9,21192.0796602607,21515.5680079652,21542.7040079652,22784.30414319225,19907.508983876025,27.135999999998603,0.1261226289259604,350.6243477044991,1.6275781702002647,-323.4883477045005,-1.5035082856503859,6.9882515301977834,8.077650626161287,False,True,True,True,True,6.461357299995143,4.792862500005867,11.077790300012566,,,,,,
9,test_009_id_boost_only,boost_only,7,17148.174804943123,17509.78376540256,17511.478209986366,17528.01420998637,15648.962919088788,1.694444583805307,0.009677130263329387,363.3034050432434,2.074658693496591,-361.6089604594381,-2.065182330657551,2.16704185935015,11.891017033748104,False,True,True,True,True,7.307525699958205,5.957554100023117,9.066277300007641,17428.032770644724,-81.75099475783645,-0.4668875175909801,False,37.05199538099987,1.1436890820000372
