scenario_index,scenario_id,family,switch_day,method,objective,inference_runtime_seconds,online_training_seconds
0,test_000_pilot_rank_flip,heldout_rank_flip,15,R_static_init_retrain_best_of_64,14360.628499999999,1.008275693000087,31.51063293299967
9,test_009_id_boost_only,boost_only,7,R_static_init_retrain_best_of_64,17428.032770644724,1.1436890820000372,37.05199538099987
18,test_018_id_distributed,distributed,16,R_static_init_retrain_best_of_64,16047.385708480317,0.9225857070000529,30.071692693000386
27,test_027_id_boost_only,boost_only,25,R_static_init_retrain_best_of_64,15476.166500000003,0.7220294489998196,21.67880206200016
36,test_036_id_distributed,distributed,13,R_static_init_retrain_best_of_64,15892.754156839386,0.983548255000187,33.5022503389996
45,test_045_id_boost_only,boost_only,19,R_static_init_retrain_best_of_64,16339.726814943097,0.878228599999602,27.508102693999717
54,test_054_id_distributed,distributed,8,R_static_init_retrain_best_of_64,14515.202933105089,1.1555998499998168,36.368599607000306
63,test_063_id_boost_only,boost_only,26,R_static_init_retrain_best_of_64,15900.643525173768,0.7104471010002271,21.04137918000015
72,test_072_ood_top_reward_collapse,ood_top_reward_collapse,7,R_static_init_retrain_best_of_64,11330.10425,1.1791750909997063,37.518480586999885
81,test_081_ood_extreme_single_boost,ood_extreme_single_boost,13,R_static_init_retrain_best_of_64,16291.23439980057,1.0534198230002403,34.61035267300031
90,test_090_ood_rank_flip,ood_rank_flip,9,R_static_init_retrain_best_of_64,17227.362182005927,1.121609972999977,36.65289647999998
99,test_099_ood_budget_reallocation,ood_budget_reallocation,20,R_static_init_retrain_best_of_64,16677.74571416188,0.8575057620000734,27.349757055000282
