scenario_index,scenario_id,family,switch_day,method,objective,runtime_seconds
0,test_000_pilot_rank_flip,heldout_rank_flip,15,B_frozen_static_greedy,12261.328475000004,0.08851742100000592
0,test_000_pilot_rank_flip,heldout_rank_flip,15,D_frozen_static_best_of_64,12330.434912500003,1.53701220500011
0,test_000_pilot_rank_flip,heldout_rank_flip,15,C_rich_generalist_e2e_best_of_64,13935.527562500001,0.9659194490000118
1,test_001_id_no_shock,no_shock,20,B_frozen_static_greedy,15476.166500000003,0.06672209799990014
1,test_001_id_no_shock,no_shock,20,D_frozen_static_best_of_64,15476.166500000003,1.4830311839998558
1,test_001_id_no_shock,no_shock,20,C_rich_generalist_e2e_best_of_64,15472.606500000002,0.8495056499998555
2,test_002_id_mixed,mixed,24,B_frozen_static_greedy,17477.086462373016,0.04581422299997939
2,test_002_id_mixed,mixed,24,D_frozen_static_best_of_64,17477.086462373016,1.344692835999922
2,test_002_id_mixed,mixed,24,C_rich_generalist_e2e_best_of_64,17714.1482275426,0.7542841279998811
3,test_003_id_boost_only,boost_only,20,B_frozen_static_greedy,17736.94307565483,0.060161278999885326
3,test_003_id_boost_only,boost_only,20,D_frozen_static_best_of_64,17868.880637504575,1.3979478100000051
3,test_003_id_boost_only,boost_only,20,C_rich_generalist_e2e_best_of_64,18825.35679186133,0.8366760469998553
4,test_004_id_suppress_only,suppress_only,20,B_frozen_static_greedy,15055.390568367067,0.06120086300006733
4,test_004_id_suppress_only,suppress_only,20,D_frozen_static_best_of_64,15055.390568367067,1.4017791219998799
4,test_004_id_suppress_only,suppress_only,20,C_rich_generalist_e2e_best_of_64,14961.921829572075,0.8489172860001872
5,test_005_id_concentrated,concentrated,6,B_frozen_static_greedy,19212.775267489837,0.11504476000004615
5,test_005_id_concentrated,concentrated,6,D_frozen_static_best_of_64,19219.727267489834,1.735666467000101
5,test_005_id_concentrated,concentrated,6,C_rich_generalist_e2e_best_of_64,20586.122101719997,1.137485525000102
6,test_006_id_distributed,distributed,15,B_frozen_static_greedy,15892.29378639275,0.07872702299982848
6,test_006_id_distributed,distributed,15,D_frozen_static_best_of_64,15956.792605330067,1.537624679999908
6,test_006_id_distributed,distributed,15,C_rich_generalist_e2e_best_of_64,16367.745502729971,0.9389971410000726
7,test_007_id_no_shock,no_shock,18,B_frozen_static_greedy,15476.166500000003,0.06774341799996364
7,test_007_id_no_shock,no_shock,18,D_frozen_static_best_of_64,15483.1185,1.4439534260000073
7,test_007_id_no_shock,no_shock,18,C_rich_generalist_e2e_best_of_64,15483.1185,0.8843687169999157
8,test_008_id_mixed,mixed,9,B_frozen_static_greedy,19813.844756361825,0.1047382959998231
8,test_008_id_mixed,mixed,9,D_frozen_static_best_of_64,19816.632384623288,1.6467631819998587
8,test_008_id_mixed,mixed,9,C_rich_generalist_e2e_best_of_64,21192.0796602607,1.0880682700001216
9,test_009_id_boost_only,boost_only,7,B_frozen_static_greedy,15685.753473715085,0.15049911999994947
9,test_009_id_boost_only,boost_only,7,D_frozen_static_best_of_64,16037.831842209536,1.7302124519999325
9,test_009_id_boost_only,boost_only,7,C_rich_generalist_e2e_best_of_64,17148.174804943123,1.1864378020000004
10,test_010_id_suppress_only,suppress_only,22,B_frozen_static_greedy,12217.447509598533,0.05174667099981889
10,test_010_id_suppress_only,suppress_only,22,D_frozen_static_best_of_64,12217.447509598533,1.387149428000157
10,test_010_id_suppress_only,suppress_only,22,C_rich_generalist_e2e_best_of_64,13019.824000000004,0.7834972330001619
11,test_011_id_concentrated,concentrated,18,B_frozen_static_greedy,15060.768478810904,0.0670424540003296
11,test_011_id_concentrated,concentrated,18,D_frozen_static_best_of_64,15175.468034409474,1.4536786339999708
11,test_011_id_concentrated,concentrated,18,C_rich_generalist_e2e_best_of_64,15370.043750000004,0.8991566810000222
12,test_012_id_distributed,distributed,10,B_frozen_static_greedy,14747.297391700846,0.09844935199998872
12,test_012_id_distributed,distributed,10,D_frozen_static_best_of_64,14810.470873844073,1.6536080810001295
12,test_012_id_distributed,distributed,10,C_rich_generalist_e2e_best_of_64,15027.018682606846,1.0804056410001976
13,test_013_id_no_shock,no_shock,16,B_frozen_static_greedy,15476.166500000003,0.07605573900036688
13,test_013_id_no_shock,no_shock,16,D_frozen_static_best_of_64,15485.254500000003,1.5690363009998691
13,test_013_id_no_shock,no_shock,16,C_rich_generalist_e2e_best_of_64,15483.1185,0.9893101320003552
14,test_014_id_mixed,mixed,11,B_frozen_static_greedy,14404.167165597031,0.09408222000001842
14,test_014_id_mixed,mixed,11,D_frozen_static_best_of_64,14788.00467363223,1.6033611230000133
14,test_014_id_mixed,mixed,11,C_rich_generalist_e2e_best_of_64,16055.537945935766,1.058743403000335
15,test_015_id_boost_only,boost_only,14,B_frozen_static_greedy,16066.989385792655,0.08343499100010376
15,test_015_id_boost_only,boost_only,14,D_frozen_static_best_of_64,16232.626527563465,1.5516731259999688
15,test_015_id_boost_only,boost_only,14,C_rich_generalist_e2e_best_of_64,16632.158741415682,0.9884315209997112
16,test_016_id_suppress_only,suppress_only,19,B_frozen_static_greedy,15476.166500000003,0.06922219899979609
16,test_016_id_suppress_only,suppress_only,19,D_frozen_static_best_of_64,15476.166500000003,1.4904261659999065
16,test_016_id_suppress_only,suppress_only,19,C_rich_generalist_e2e_best_of_64,15476.166500000003,0.865142397999989
17,test_017_id_concentrated,concentrated,26,B_frozen_static_greedy,15476.166500000003,0.03528903300002639
17,test_017_id_concentrated,concentrated,26,D_frozen_static_best_of_64,15476.166500000003,1.2662069240000164
