method,comparison_group,prefix_source,objective,runtime_seconds,rollouts,proven_optimal,optimality_gap_percent,gap_to_group_oracle_percent,gap_to_two_stage_gurobi_percent,gap_to_clairvoyant_upper_bound_percent,information_pattern
B_frozen_attention_greedy,same_static_attention_prefix,static_attention,12261.328475000004,0.13699510000878945,1,NA,NA,15.308358832759284,15.847682173974762,17.180820235856,shock_unaware_frozen_policy
D_frozen_attention_residual_best_of_512,same_static_attention_prefix,static_attention,12380.716912500002,17.009022500016727,512,NA,NA,14.483717136805746,15.02829186421044,16.374410678585527,shock_unaware_frozen_policy_postshock_search
C_context_static_prefix_best_of_512,same_static_attention_prefix,static_attention,14367.360500000003,10.718468400009442,512,NA,NA,0.7615412581638706,1.393499930921581,2.9556206399762375,shock_context_visible_only_when_realized
C_e2e_anticipatory_greedy,end_to_end_online,method_c_anticipatory_no_future_shock_info,14024.6965625,0.10819790000095963,1,NA,NA,3.7552787768935803,3.745281357772027,5.270145228104291,anticipatory_learned_policy_no_future_shock_identity
C_e2e_anticipatory_postshock_best_of_512,end_to_end_online,method_c_anticipatory_no_future_shock_info,14358.6995,10.554406100010965,512,NA,NA,1.46317787730335,1.4529423662317045,3.0141213903149895,anticipatory_prefix_no_future_info_then_postshock_adaptive_search
adaptive_gurobi_same_static_attention_prefix,same_static_attention_prefix,static_attention,14477.613500000005,3.1779191000387073,NA,True,0.0,0.0,0.6368082301658061,2.210916422553633,exact_postshock_oracle_same_realized_prefix
adaptive_gurobi_same_method_c_prefix,end_to_end_online,method_c_anticipatory_no_future_shock_info,14571.912500000002,3.5214435000088997,NA,True,0.0,0.0,-0.0103874986539554,1.5739735457273287,exact_postshock_oracle_same_method_c_realized_prefix
gurobi_initial_static_plan_no_replan,end_to_end_online,initial_static_gurobi,12199.350187500002,11.226364200003445,NA,True,0.0,NA,16.273053418097877,17.599452763677295,static_day0_plan_no_future_shock_info_no_replanning
gurobi_two_stage_replanned,end_to_end_online,initial_static_gurobi,14570.399000000001,3.297092899971176,NA,True,0.0,NA,0.0,1.5841964859926256,static_exact_day0_plan_then_exact_reoptimization_after_shock
gurobi_clairvoyant_upper_bound,perfect_information_upper_bound,none,14804.938312500002,10.527637400024105,NA,True,0.0,NA,-1.6096972533147578,0.0,perfect_future_shock_information_at_day_0
