instance_id,party,benchmark_state_count_excluding_idle,visit_location_count,action_count_including_idle,idle_action,horizon,method,source,seed,objective,published_gurobi_bfs,improvement_over_published_bfs_percent,gap_to_published_bfs_percent,published_gurobi_gap_percent,measured_exact_objective,gap_to_measured_exact_percent,measured_exact_status,feasible,runtime_seconds,idle_days,unique_locations,visit_hhi,start_generation_seconds,improvement_seconds,itinerary
R_14S_30P,R,14,14,15,0,30,greedy_exact_increment,measured,42,13296.78825,14745.4,-9.824160416129775,9.824160416129775,0.0,,,,True,0.014357320999920375,8,5,0.2892561983471074,0.0,0.0,"[11, 11, 3, 3, 10, 0, 0, 11, 11, 3, 10, 10, 0, 0, 3, 5, 6, 10, 3, 0, 0, 11, 11, 3, 10, 3, 0, 0, 11, 11]"
R_14S_30P,R,14,14,15,0,30,stable_mlp_greedy,measured,42,14098.416500000001,14745.4,-4.387697180137524,4.387697180137524,0.0,,,,True,0.07205139699999563,8,6,0.19421487603305781,0.0,0.0,"[11, 11, 3, 3, 10, 0, 0, 11, 11, 6, 6, 5, 0, 0, 0, 0, 5, 6, 5, 6, 10, 0, 0, 11, 11, 3, 3, 10, 10, 9]"
R_14S_30P,R,14,14,15,0,30,stable_mlp_best_of_128,measured,42,14496.671000000002,14745.4,-1.6868243655648374,1.6868243655648374,0.0,,,,True,2.6969332369999393,8,6,0.2024793388429752,0.0,0.0,"[11, 11, 3, 3, 10, 0, 0, 10, 11, 9, 5, 5, 0, 0, 0, 6, 0, 5, 5, 6, 10, 0, 11, 0, 11, 3, 10, 3, 10, 11]"
R_14S_30P,R,14,14,15,0,30,stable_mlp_sgbs_64,measured,42,14505.954000000002,14745.4,-1.6238691388500692,1.6238691388500692,0.0,,,,True,49.37525252599994,8,5,0.21074380165289253,0.0,0.0,"[11, 11, 3, 3, 10, 0, 0, 11, 10, 6, 6, 5, 0, 0, 0, 5, 0, 6, 5, 6, 3, 0, 11, 0, 11, 3, 10, 3, 10, 11]"
R_14S_30P,R,14,14,15,0,30,attention_greedy,measured,42,14072.73075,14745.4,-4.561892183324963,4.561892183324963,0.0,,,,True,0.1591387369999211,8,6,0.22314049586776857,0.0,0.0,"[11, 3, 11, 3, 10, 0, 0, 11, 10, 3, 5, 6, 0, 0, 0, 0, 5, 9, 10, 11, 3, 0, 0, 11, 3, 10, 11, 3, 10, 5]"
R_14S_30P,R,14,14,15,0,30,attention_best_of_128,measured,42,14504.81075,14745.4,-1.6316224042752254,1.6316224042752254,0.0,,,,True,2.87269643500008,8,6,0.22314049586776857,0.0,0.0,"[11, 3, 11, 10, 3, 0, 0, 11, 10, 3, 5, 6, 0, 0, 0, 9, 0, 5, 3, 5, 10, 0, 11, 0, 10, 3, 11, 3, 10, 11]"
R_14S_30P,R,14,14,15,0,30,attention_sgbs_64,measured,42,14192.35525,14745.4,-3.7506256188370553,3.7506256188370553,0.0,,,,True,49.79299637899999,9,6,0.2335600907029478,0.0,0.0,"[11, 3, 11, 3, 10, 0, 0, 11, 3, 10, 5, 5, 0, 0, 0, 0, 0, 6, 9, 10, 11, 3, 0, 0, 11, 3, 10, 11, 3, 10]"
R_14S_30P,R,14,14,15,0,30,hierarchical_greedy,measured,42,14169.4555,14745.4,-3.905926594056449,3.905926594056449,0.0,,,,True,0.1687596570000096,9,6,0.20181405895691606,0.0,0.0,"[11, 3, 11, 3, 10, 0, 0, 10, 11, 5, 5, 6, 0, 0, 0, 0, 0, 6, 9, 9, 3, 3, 0, 0, 11, 11, 10, 3, 10, 3]"
R_14S_30P,R,14,14,15,0,30,hierarchical_best_of_128,measured,42,14524.0955,14745.4,-1.5008375493374218,1.5008375493374218,0.0,,,,True,2.8747951319999174,8,6,0.19421487603305781,0.0,0.0,"[11, 3, 11, 3, 10, 0, 0, 11, 10, 6, 5, 5, 0, 0, 0, 6, 0, 5, 9, 9, 10, 0, 11, 0, 11, 3, 10, 3, 10, 11]"
R_14S_30P,R,14,14,15,0,30,hierarchical_sgbs_64,measured,42,14343.0805,14745.4,-2.7284407340594328,2.7284407340594328,0.0,,,,True,51.06574684900011,9,6,0.20181405895691606,0.0,0.0,"[11, 3, 11, 3, 10, 0, 0, 10, 3, 5, 5, 6, 0, 0, 0, 0, 0, 6, 9, 9, 11, 11, 0, 0, 10, 3, 3, 11, 11, 10]"
